S.No,City,Air Quality,"Index
Value",Prominent Pollutant,"No. of Stations
Participated/
Total Stations",lats,longs
175,Nashik,Moderate,111,PM10,2/4,19.9974533,73.78980229999999
176,Navi Mumbai,Moderate,121,"PM10, PM2.5",5/8,19.0330488,73.0296625
177,Noida,Moderate,173,"NO2 , PM2.5",3/4,28.5355161,77.3910265
178,Pali,Moderate,177,PM2.5,1/1,25.7780623,73.331147
179,Palwal,Satisfactory,62,PM10,1/1,28.1472852,77.3259878
180,Panchkula,Moderate,118,PM2.5,1/1,30.6942091,76.860565
181,Panipat,Moderate,106,PM2.5,1/1,29.3909464,76.9635023
182,Parbhani,Moderate,164,PM2.5,1/1,19.2608384,76.774776
183,Patiala,Moderate,105,PM10,1/1,30.3397809,76.3868797
184,Patna,Poor,277,"PM10, PM2.5",5/6,25.5940947,85.1375645
185,Pimpri-Chinchwad,Moderate,123,"PM10, PM2.5",4/4,18.6297811,73.7997094
186,Pithampur,Poor,208,PM2.5,1/1,22.611121,75.6772689
187,Pratapgarh,Satisfactory,90,PM2.5,1/1,25.8973038,81.9452981
188,Prayagraj,Satisfactory,93,PM10,2/3,25.468338,81.85460189999999
189,Puducherry,Satisfactory,64,O3,1/1,11.9415915,79.8083133
190,Pudukottai,Good,37,PM10,1/1,10.3832867,78.800129
191,Pune,Moderate,140,"PM10, PM2.5",6/12,18.5204303,73.8567437
192,Purnia,Poor,242,PM2.5,1/1,25.771665,87.47923589999999
193,Raipur,Moderate,144,"PM10, PM2.5",3/4,21.2513844,81.62964130000002
194,Rairangpur,Moderate,170,O3,1/1,22.2709322,86.1700894
195,Rajamahendravaram,Poor,228,PM2.5,1/1,17.0005383,81.8040345
196,Rajgir,Moderate,183,PM10,1/1,25.0261746,85.4173739
197,Rajsamand,Moderate,169,PM2.5,1/1,25.0583257,73.88600339999999
198,Ranipet,Moderate,102,PM2.5,1/1,12.9487403,79.318978
199,Ratlam,Moderate,133,PM10,1/1,23.3315103,75.0366677
200,Rishikesh,Satisfactory,67,PM10,1/1,30.1157619,78.28530169999999
201,Rohtak,Moderate,115,PM2.5,1/1,28.8955152,76.606611
202,Rourkela,Moderate,156,PM2.5,2/3,22.260423,84.8535844
203,Rupnagar,Moderate,127,PM10,1/1,30.9661003,76.5230961
204,Sagar,Moderate,110,"PM10, PM2.5",2/2,23.9259385,78.8382644
205,Saharsa,Poor,228,PM2.5,1/1,25.8773651,86.5927887
206,Samastipur,Moderate,120,PM10,1/1,25.8560271,85.7868233
207,Sangli,Moderate,104,O3,1/1,16.8523973,74.5814773
208,Sasaram,Poor,232,PM2.5,1/1,24.9538803,84.01428659999999
209,Satna,Satisfactory,70,PM10,1/1,24.6005075,80.8322428
210,Sawai Madhopur,Moderate,166,PM10,1/1,26.012373,76.3560109
211,Shillong,Good,49,O3,1/2,25.5787726,91.8932535
212,Shivamogga,Good,38,PM10,1/1,13.9299299,75.568101
213,Sikar,Poor,203,PM10,1/1,27.6093912,75.1397935
214,Silchar,Satisfactory,55,PM10,1/1,24.8332708,92.7789054
215,Siliguri,Moderate,134,PM2.5,1/1,26.7271012,88.39528609999999
216,Singrauli,Moderate,174,PM10,1/1,24.1989544,82.6676209
217,Sirohi,Satisfactory,88,PM10,1/1,24.8827147,72.8608948
218,Sirsa,Moderate,131,O3,1/1,29.5320731,75.03177339999999
219,Sivasagar,Satisfactory,66,PM10,1/1,26.989087,94.639424
220,Siwan,Moderate,107,CO,1/1,26.2243204,84.3599953
221,Solapur,Satisfactory,99,"PM10, O3",3/3,17.6599188,75.9063906
222,Sonipat,Moderate,125,PM10,1/1,28.99308229999999,77.0150735
223,Sri Ganganagar,Moderate,177,PM2.5,1/1,29.9093759,73.87998050000002
