S.No,City,Air Quality,"Index
Value",Prominent Pollutant,"No. of Stations
Participated/
Total Stations",lats,longs
196,Silchar,Satisfactory,69,PM10,1/1,24.8332708,92.7789054
197,Siliguri,Moderate,105,PM10,1/1,26.7271012,88.39528609999999
198,Singrauli,Moderate,183,PM2.5,1/1,24.1989544,82.6676209
199,Sirohi,Satisfactory,74,PM10,1/1,24.8827147,72.8608948
200,Sivasagar,Satisfactory,55,PM2.5,1/1,26.989087,94.639424
201,Siwan,Satisfactory,96,CO,1/1,26.2243204,84.3599953
202,Solapur,Satisfactory,99,"PM10, PM2.5",3/3,17.6599188,75.9063906
203,Sri Ganganagar,Moderate,161,PM10,1/1,29.9093759,73.87998050000002
204,Suakati,Moderate,172,PM2.5,1/1,21.6043925,85.5161612
205,Talcher,Moderate,126,PM2.5,1/1,20.9501027,85.216816
206,Thane,Moderate,114,"PM10, PM2.5",2/2,19.2183307,72.9780897
207,Thiruvananthapuram,Satisfactory,76,"PM10, PM2.5",2/2,8.5241391,76.9366376
208,Thoothukudi,Satisfactory,58,PM10,1/1,8.764166099999999,78.1348361
209,Thrissur,Satisfactory,56,PM10,1/1,10.5276416,76.2144349
210,Tiruchirappalli,Satisfactory,89,PM10,1/1,,
211,Tirumala,Satisfactory,80,PM2.5,1/1,,
212,Tirunelveli,Good,41,CO,1/1,,
213,Tirupur,Satisfactory,100,PM10,1/1,,
214,Tonk,Moderate,120,PM10,1/1,26.1659063,75.7962852
215,Tumakuru,Moderate,136,PM10,1/1,13.3378762,77.117325
216,Udaipur,Moderate,101,PM10,1/1,24.585445,73.712479
217,Udupi,Satisfactory,75,PM10,1/1,,
218,Ujjain,Satisfactory,76,PM10,1/1,23.1764665,75.7885163
219,Ulhasnagar,Moderate,153,PM2.5,1/1,19.2215115,73.1644628
220,Vapi,Moderate,171,PM2.5,1/1,20.3893155,72.9106202
221,Varanasi,Satisfactory,51,"SO2 , PM10",4/4,25.3176452,82.9739144
222,Vatva,Moderate,147,PM2.5,1/1,22.9664255,72.6159326
223,Vellore,Satisfactory,78,PM2.5,1/1,12.9235541,79.1330768
224,Vijayapura,Good,47,PM10,1/1,16.8301708,75.710031
225,Vijayawada,Satisfactory,66,"PM10, PM2.5",4/4,16.5061743,80.6480153
226,Virar,Moderate,195,PM2.5,1/1,19.465622,72.806099
227,Virudhunagar,Satisfactory,86,PM10,1/1,9.5680116,77.96244349999999
228,Visakhapatnam,Moderate,139,PM10,1/1,,
229,Vrindavan,Moderate,102,PM10,1/1,27.5650088,77.6593394
230,Yadgir,Satisfactory,87,PM10,1/1,16.7625516,77.1442251
