S.No,City,Air Quality,"Index
Value",Prominent Pollutant,"No. of Stations
Participated/
Total Stations",Lat,Lng
202,Sangli,Satisfactory,99,PM2.5,1/1,16.8523973,74.5814773
203,Sasaram,Satisfactory,61,PM10,1/1,24.9538803,84.01428659999999
204,Satna,Satisfactory,70,PM10,1/1,24.6005075,80.8322428
205,Sawai Madhopur,Moderate,142,PM10,1/1,26.012373,76.3560109
206,Shillong,Moderate,109,PM2.5,1/2,25.5787726,91.8932535
207,Shivamogga,Satisfactory,60,PM10,1/1,13.9299299,75.568101
208,Sikar,Poor,216,PM2.5,1/1,27.6093912,75.1397935
209,Silchar,Satisfactory,62,PM10,1/1,24.8332708,92.7789054
210,Siliguri,Moderate,129,PM10,1/1,26.7271012,88.39528609999999
211,Singrauli,Poor,267,PM2.5,1/1,24.1989544,82.6676209
212,Sirohi,Satisfactory,74,O3,1/1,24.8827147,72.8608948
213,Sivasagar,Satisfactory,70,O3,1/1,26.989087,94.639424
214,Siwan,Satisfactory,71,CO,1/1,26.2243204,84.3599953
215,Solapur,Moderate,114,"PM10, PM2.5",2/3,17.6700736,75.9010467
216,Sonipat,Moderate,136,PM2.5,1/1,28.99308229999999,77.0150735
217,Sri Ganganagar,Moderate,111,PM10,1/1,29.9093759,73.87998050000002
218,Srinagar,Good,30,"PM10, PM2.5",2/2,34.0836708,74.7972825
219,Suakati,Poor,272,PM2.5,1/1,21.6043925,85.5161612
220,Surat,Satisfactory,61,PM10,1/1,21.1702401,72.83106070000001
221,Talcher,Moderate,158,PM2.5,1/1,20.9501027,85.216816
222,Thane,Satisfactory,100,PM10,2/2,19.2122949,72.97716609999999
223,Thanjavur,Good,40,PM10,1/1,10.787719,79.1384288
224,Thiruvananthapuram,Moderate,122,"PM10, PM2.5",2/2,8.5241391,76.9366376
225,Thoothukudi,Satisfactory,82,PM10,1/1,8.764166099999999,78.1348361
226,Thrissur,Satisfactory,67,PM10,1/1,10.5241176,76.2120649
227,Tirumala,Moderate,171,PM2.5,1/1,13.6807357,79.3508975
228,Tirupati,Satisfactory,62,PM10,1/1,13.6287557,79.4191795
229,Tonk,Poor,254,PM2.5,1/1,26.1659063,75.7962852
230,Tumakuru,Moderate,148,PM10,1/1,13.3378762,77.117325
231,Udaipur,Moderate,108,PM10,1/1,24.585445,73.712479
232,Ulhasnagar,Moderate,116,PM10,1/1,19.2215115,73.1644628
233,Vapi,Satisfactory,75,PM10,1/1,20.3893155,72.9106202
234,Varanasi,Satisfactory,52,"PM10, NO2 , PM2.5",4/4,25.3176452,82.9739144
235,Vatva,Moderate,177,PM2.5,1/1,22.9664255,72.6159326
236,Vijayapura,Satisfactory,62,PM10,1/1,16.8301708,75.710031
237,Vijayawada,Satisfactory,88,PM2.5,4/4,16.5061743,80.6480153
238,Virar,Satisfactory,80,PM10,1/1,19.4563596,72.79246119999999
239,Visakhapatnam,Poor,230,PM2.5,1/1,17.6973801,83.29902539999999
240,Vrindavan,Good,37,PM10,1/1,27.5650088,77.6593394
241,Yadgir,Moderate,128,PM2.5,1/1,16.748739,77.130872
242,Yamuna Nagar,Satisfactory,91,PM10,1/1,30.1290485,77.2673901
